run_id,timestamp,time_relative_s,gpu_id,power_w,sm_clock_mhz,gpu_util_pct,memory_util_pct,memory_used_mb,memory_total_mb,temperature_c,stage
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.394Z,0.905,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.394Z,0.905,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.494Z,1.005,0,79.77,225,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.494Z,1.005,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.495Z,1.006,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.495Z,1.006,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.595Z,1.106,0,79.77,225,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.595Z,1.106,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.595Z,1.106,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.595Z,1.106,3,33.93,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.695Z,1.206,0,78.43,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.695Z,1.206,1,33.26,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.695Z,1.206,2,35.01,210,0,0,,,,
powertraces-pt200array_pt220_r3_7536323_8-1cf5cef7ab,2026-04-30T19:46:03.695Z,1.206,3,33.93,210,0,0,,,,
